3300055390_1033__dereplicated_genomes	{'Translation table': 11, 'GC std': 0.028631236557253015, '# ambiguous bases': 0, 'Genome size': 2532618, 'Longest contig': 278748, 'N50 (scaffolds)': 103377, 'Mean scaffold length': 52762.875, '# contigs': 48, '# scaffolds': 48, '# predicted genes': 2564, 'Longest scaffold': 278748, 'GC': 0.603987652302874, 'N50 (contigs)': 103377, 'Coding density': 0.9157508159540839, 'Mean contig length': 52762.875}
3300055390_1041__dereplicated_genomes	{'Translation table': 11, 'GC std': 0.013059490352808286, '# ambiguous bases': 0, 'Genome size': 2452056, 'Longest contig': 217973, 'N50 (scaffolds)': 72316, 'Mean scaffold length': 30272.296296296296, '# contigs': 81, '# scaffolds': 81, '# predicted genes': 2288, 'Longest scaffold': 217973, 'GC': 0.6487633235130029, 'N50 (contigs)': 72316, 'Coding density': 0.9322213685168691, 'Mean contig length': 30272.296296296296}
3300055390_1045__dereplicated_genomes	{'Translation table': 11, 'GC std': 0.012673552712984922, '# ambiguous bases': 0, 'Genome size': 2729923, 'Longest contig': 103891, 'N50 (scaffolds)': 39297, 'Mean scaffold length': 25045.16513761468, '# contigs': 109, '# scaffolds': 109, '# predicted genes': 2450, 'Longest scaffold': 103891, 'GC': 0.3915121415512452, 'N50 (contigs)': 39297, 'Coding density': 0.8871763049727044, 'Mean contig length': 25045.16513761468}
3300055390_1048__dereplicated_genomes	{'Translation table': 11, 'GC std': 0.01418870253532436, '# ambiguous bases': 0, 'Genome size': 1952533, 'Longest contig': 138492, 'N50 (scaffolds)': 53193, 'Mean scaffold length': 27893.32857142857, '# contigs': 70, '# scaffolds': 70, '# predicted genes': 1986, 'Longest scaffold': 138492, 'GC': 0.5768583680787982, 'N50 (contigs)': 53193, 'Coding density': 0.9309548161285879, 'Mean contig length': 27893.32857142857}
3300055390_1047__dereplicated_genomes	{'Translation table': 11, 'GC std': 0.021820143896068383, '# ambiguous bases': 0, 'Genome size': 3135331, 'Longest contig': 90846, 'N50 (scaffolds)': 19251, 'Mean scaffold length': 13009.672199170125, '# contigs': 241, '# scaffolds': 241, '# predicted genes': 2687, 'Longest scaffold': 90846, 'GC': 0.7202193325042874, 'N50 (contigs)': 19251, 'Coding density': 0.9089627219582239, 'Mean contig length': 13009.672199170125}
3300055390_1034__dereplicated_genomes	{'Translation table': 11, 'GC std': 0.02088814676902648, '# ambiguous bases': 0, 'Genome size': 7397879, 'Longest contig': 207976, 'N50 (scaffolds)': 58097, 'Mean scaffold length': 34895.655660377357, '# contigs': 212, '# scaffolds': 212, '# predicted genes': 6145, 'Longest scaffold': 207976, 'GC': 0.5492639174011903, 'N50 (contigs)': 58097, 'Coding density': 0.8718685450248645, 'Mean contig length': 34895.655660377357}
3300055390_1054__dereplicated_genomes	{'Translation table': 11, 'GC std': 0.03382947495560138, '# ambiguous bases': 0, 'Genome size': 1731088, 'Longest contig': 88178, 'N50 (scaffolds)': 22883, 'Mean scaffold length': 16028.592592592593, '# contigs': 108, '# scaffolds': 108, '# predicted genes': 1737, 'Longest scaffold': 88178, 'GC': 0.4199006636288854, 'N50 (contigs)': 22883, 'Coding density': 0.8901673398463856, 'Mean contig length': 16028.592592592593}
3300055390_1052__dereplicated_genomes	{'Translation table': 11, 'GC std': 0.015323601996082974, '# ambiguous bases': 0, 'Genome size': 3921293, 'Longest contig': 68826, 'N50 (scaffolds)': 14179, 'Mean scaffold length': 10512.849865951743, '# contigs': 373, '# scaffolds': 373, '# predicted genes': 3589, 'Longest scaffold': 68826, 'GC': 0.6634242837757852, 'N50 (contigs)': 14179, 'Coding density': 0.9454919589023314, 'Mean contig length': 10512.849865951743}
3300055390_1056__dereplicated_genomes	{'Translation table': 11, 'GC std': 0.01433341592922517, '# ambiguous bases': 0, 'Genome size': 2625767, 'Longest contig': 64966, 'N50 (scaffolds)': 12088, 'Mean scaffold length': 9797.6380597014922, '# contigs': 268, '# scaffolds': 268, '# predicted genes': 2428, 'Longest scaffold': 64966, 'GC': 0.6726678338176998, 'N50 (contigs)': 12088, 'Coding density': 0.9373878184926537, 'Mean contig length': 9797.6380597014922}
3300055390_1057__dereplicated_genomes	{'Translation table': 11, 'GC std': 0.01893946225934073, '# ambiguous bases': 0, 'Genome size': 2785776, 'Longest contig': 64636, 'N50 (scaffolds)': 13149, 'Mean scaffold length': 10797.581395348838, '# contigs': 258, '# scaffolds': 258, '# predicted genes': 2429, 'Longest scaffold': 64636, 'GC': 0.44510254952300543, 'N50 (contigs)': 13149, 'Coding density': 0.9140250328813229, 'Mean contig length': 10797.581395348838}
3300055390_1051__dereplicated_genomes	{'Translation table': 11, 'GC std': 0.017522827486308037, '# ambiguous bases': 0, 'Genome size': 6636015, 'Longest contig': 100319, 'N50 (scaffolds)': 25801, 'Mean scaffold length': 17555.595238095237, '# contigs': 378, '# scaffolds': 378, '# predicted genes': 5134, 'Longest scaffold': 100319, 'GC': 0.6579037268601714, 'N50 (contigs)': 25801, 'Coding density': 0.9117595424362362, 'Mean contig length': 17555.595238095237}
3300055390_1062__dereplicated_genomes	{'Translation table': 11, 'GC std': 0.012685833402396107, '# ambiguous bases': 0, 'Genome size': 3582213, 'Longest contig': 81104, 'N50 (scaffolds)': 24882, 'Mean scaffold length': 16432.169724770643, '# contigs': 218, '# scaffolds': 218, '# predicted genes': 3050, 'Longest scaffold': 81104, 'GC': 0.41278142868668055, 'N50 (contigs)': 24882, 'Coding density': 0.9115730974121304, 'Mean contig length': 16432.169724770643}
